AWS EKS,AWS RDS Postgres,AWS RDS Aurora,AWS Step Functions,AWS Lambda Container,AWS Lambda Code,AWS S3,AWS DynamoDB,AWS EC2,AWS CloudFormation,AWS SageMaker,AWS Redshift,AWS Elastic Beanstalk,AWS API Gateway,Cloud Lock-in Score
16,10,5,14,16,0,18,5,0,7,3,10,7,11,54
3,9,1,4,8,10,2,13,11,5,2,19,1,8,46
14,7,13,9,9,18,16,7,5,8,18,5,10,15,72
6,11,16,9,12,7,17,5,12,10,0,1,18,19,61
4,13,2,18,5,1,4,4,18,5,17,18,4,1,53
10,10,12,13,12,17,1,0,19,12,5,16,10,16,71
10,3,12,19,10,11,9,12,5,18,19,18,10,3,80
9,16,18,3,10,14,1,10,15,7,19,3,12,0,63
13,10,10,5,17,1,7,10,9,17,19,12,15,4,69
2,14,6,0,19,8,9,13,9,19,7,4,10,16,62
4,7,18,3,5,13,5,8,3,6,16,14,2,8,57
16,7,18,8,6,12,4,13,8,12,11,13,0,0,61
14,11,18,16,9,17,13,9,18,9,14,4,10,17,80
1,15,5,10,19,5,16,12,4,14,7,1,19,13,65
8,12,10,19,17,2,12,3,13,13,7,0,0,18,58
13,0,10,8,4,10,11,2,19,0,4,19,15,4,52
2,2,19,7,8,1,1,2,13,13,4,16,15,17,56
13,8,10,17,18,17,9,12,3,16,7,15,10,11,82
0,15,11,7,2,15,18,7,0,4,3,3,4,8,44
17,0,15,12,3,12,9,5,4,12,11,6,16,18,66
16,1,5,19,8,8,7,10,6,3,12,7,17,18,66
0,13,17,17,11,18,15,1,14,6,14,3,14,15,73
0,0,16,10,9,15,5,11,9,12,19,11,7,19,73
13,1,7,15,16,2,0,9,7,2,18,1,10,3,51
16,7,8,2,8,5,7,5,18,13,17,2,9,3,49
16,1,15,15,4,18,10,3,4,7,15,0,6,14,61
5,12,1,16,17,15,9,16,16,17,18,14,2,17,83
6,14,16,5,1,16,14,2,6,3,15,1,11,16,57
16,13,3,12,4,17,3,8,17,8,19,16,4,4,67
1,18,18,10,12,1,12,15,8,18,6,2,15,15,68
16,8,10,13,6,2,15,18,11,15,2,13,2,4,58
18,2,16,7,1,10,19,3,12,1,19,12,8,19,64
10,3,15,10,4,15,8,14,1,19,19,8,18,6,75
18,5,15,10,0,4,5,17,18,1,6,5,12,10,53
8,2,16,4,17,16,6,10,16,12,9,18,17,16,80
9,16,18,8,10,6,10,5,11,19,0,15,14,12,68
17,17,14,17,18,15,8,16,1,16,7,6,9,16,85
16,1,2,0,2,11,7,10,5,10,18,11,16,19,60
1,15,16,8,15,12,5,8,12,15,11,14,0,5,66
5,9,1,7,1,5,2,9,0,1,4,19,18,11,47
15,16,16,9,10,5,9,6,8,12,6,12,5,10,62
3,6,7,9,13,13,19,10,2,5,12,14,1,1,56
15,3,6,4,8,3,1,9,12,0,8,18,7,0,43
19,18,5,18,0,10,12,3,1,4,13,11,12,1,59
3,11,17,10,9,0,6,7,3,15,1,6,17,2,50
8,9,3,6,2,0,3,18,9,17,3,8,8,9,45
11,12,12,10,2,3,17,16,2,2,7,2,15,11,54
18,15,0,8,8,8,18,1,5,6,7,1,2,8,42
11,8,17,3,17,5,9,3,5,14,0,16,5,8,55
10,3,8,11,9,16,3,4,14,11,16,9,10,15,66
5,7,1,12,14,19,6,5,19,2,2,8,3,9,51
9,6,4,12,1,10,13,10,2,0,17,6,6,3,47
11,2,5,1,8,5,19,6,5,14,6,10,18,11,52
7,10,14,18,1,7,6,1,6,19,15,8,7,7,60
0,9,18,11,9,17,14,13,1,14,6,17,7,15,75
6,15,4,6,7,15,1,3,2,13,18,10,1,11,56
1,13,6,1,3,2,12,10,1,11,5,15,1,18,45
15,3,13,15,2,9,3,9,16,12,16,7,15,16,69
2,13,6,2,15,17,12,17,18,11,3,19,17,15,77
14,13,7,14,5,3,9,5,17,3,16,17,17,9,66
2,16,0,3,19,15,5,9,13,11,13,9,6,18,65
11,5,1,17,1,6,11,19,4,1,14,5,16,4,55
3,19,7,18,3,13,6,9,8,1,0,15,10,1,54
12,16,15,4,2,10,10,7,7,10,12,10,2,19,61
1,3,1,8,13,13,4,10,13,16,17,8,12,13,64
2,0,18,16,17,11,10,2,3,17,2,10,14,8,65
6,7,14,16,11,13,6,11,2,16,12,13,10,8,74
12,8,11,12,7,4,17,5,13,16,15,17,13,19,75
16,8,8,2,13,14,13,17,16,3,5,17,16,5,68
3,8,7,3,16,19,11,16,5,13,8,13,15,14,74
4,12,4,5,18,8,3,14,10,9,11,7,6,6,56
5,19,9,16,6,11,6,5,18,10,9,2,7,10,58
6,0,1,13,16,17,18,17,16,0,19,17,8,8,75
1,8,1,5,0,17,19,13,11,5,1,10,0,11,44
17,3,5,18,8,3,3,11,3,15,2,13,5,10,55
6,6,13,2,10,18,0,6,12,3,13,6,0,16,54
13,9,15,14,9,18,6,14,15,10,3,4,4,17,69
6,9,16,11,17,16,8,15,14,8,14,16,13,14,86
9,13,16,13,12,13,1,5,1,12,14,1,3,15,64
17,5,1,4,5,10,13,19,14,19,6,6,12,3,56
17,5,15,11,17,14,0,11,4,14,8,10,4,4,67
0,8,7,9,11,5,11,1,9,8,5,9,5,4,41
11,12,3,6,5,0,10,8,5,11,3,1,7,10,37
6,8,4,14,17,14,19,19,19,19,18,8,7,7,81
16,0,12,4,18,16,3,5,2,16,17,9,19,14,76
10,3,13,17,14,2,19,15,1,2,7,8,6,8,59
1,17,14,10,5,15,8,15,7,10,8,18,2,14,70
1,5,17,4,17,6,15,17,13,1,5,11,8,18,63
9,5,18,15,14,1,19,4,12,15,1,7,12,9,60
0,0,8,15,0,2,18,11,15,16,3,10,4,15,50
15,4,18,11,1,13,8,15,4,17,1,15,4,13,66
3,11,8,7,3,6,18,11,0,4,8,19,9,2,52
0,10,1,3,17,11,12,13,19,10,13,9,17,14,67
18,13,13,13,16,1,12,3,19,6,1,2,11,9,54
15,2,10,19,2,3,3,3,0,11,1,18,13,14,56
2,19,19,18,12,1,19,7,11,9,17,4,12,19,76
13,7,9,17,6,7,7,19,10,7,12,6,16,8,67
7,17,16,3,7,18,10,6,12,10,16,16,3,16,73
14,7,0,11,5,1,17,11,11,13,10,19,10,8,60
7,9,18,4,6,3,14,10,12,11,6,13,4,13,56
4,4,12,4,2,5,11,3,10,17,10,6,5,2,41
2,13,2,3,12,18,1,16,2,17,10,16,10,15,70
18,5,8,18,12,2,11,5,7,18,17,13,5,7,67
10,4,19,0,1,16,11,12,12,16,5,17,11,4,63
12,7,10,14,9,0,6,5,6,11,6,14,17,5,57
14,8,19,12,16,16,19,11,6,12,14,4,5,16,79
9,5,5,14,18,6,8,4,9,10,7,14,8,2,56
10,16,12,4,7,5,4,17,16,3,5,11,16,11,60
17,11,10,17,1,3,1,3,11,8,8,4,14,9,51
13,10,4,5,2,15,12,1,10,10,17,1,5,16,52
16,19,6,4,6,8,11,13,17,5,13,8,14,9,63
0,4,12,17,10,2,19,5,0,10,10,13,19,7,62
19,7,5,3,13,19,8,17,12,8,4,11,12,3,64
5,19,12,17,1,10,7,9,1,11,1,5,17,3,56
9,4,16,16,6,12,9,2,12,2,12,8,17,9,63
18,17,14,15,5,11,0,5,17,17,3,15,16,6,71
13,15,17,18,1,4,12,5,7,3,14,7,8,11,61
3,4,2,0,5,18,17,10,11,11,9,3,3,1,42
15,5,10,14,5,15,14,14,6,0,11,3,17,3,61
9,3,13,4,7,18,9,16,18,0,0,12,0,6,51
15,8,6,2,19,12,11,15,12,5,10,17,10,17,73
2,16,11,8,10,12,3,19,15,17,2,12,18,4,69
9,0,10,0,12,2,3,14,9,11,14,9,14,8,54
2,7,6,16,16,11,6,18,18,15,8,19,5,9,75
5,11,15,14,16,2,15,17,18,3,17,12,9,5,72
17,14,18,3,7,13,16,16,8,10,16,3,17,15,77
1,10,11,6,6,6,8,4,8,15,2,17,16,7,54
13,5,6,10,8,0,16,17,6,12,4,18,5,12,59
0,3,16,10,16,2,19,1,19,2,18,6,12,8,58
5,12,16,6,17,6,13,17,5,3,6,11,10,17,68
8,9,2,15,9,5,19,7,9,2,1,3,8,5,42
4,19,1,7,9,14,1,19,17,9,9,4,8,4,57
1,5,13,14,15,0,5,3,8,17,10,7,15,0,54
4,2,16,14,0,2,4,12,11,4,7,8,2,5,42
13,2,8,6,7,9,9,11,18,8,2,19,8,13,58
3,15,16,3,2,10,3,2,3,4,17,0,12,17,51
15,0,19,8,6,1,0,1,3,7,17,19,12,1,55
18,1,0,5,14,10,4,11,12,18,5,5,6,10,52
4,19,11,17,11,4,6,14,15,7,12,5,14,0,63
11,18,12,10,9,3,13,13,15,5,0,2,2,17,52
15,10,10,3,17,4,16,13,12,3,0,5,4,7,48
15,10,3,1,18,2,18,1,18,11,8,17,13,2,56
2,10,12,3,14,10,5,19,1,18,7,9,18,19,73
9,0,11,2,13,18,11,9,14,12,12,9,12,5,63
13,14,7,17,16,9,15,13,10,3,6,12,8,3,66
9,4,6,18,11,19,11,15,13,13,10,13,7,7,75
2,6,14,19,0,16,6,5,1,15,12,8,8,10,63
14,2,2,2,11,10,6,1,7,18,12,16,19,1,57
12,17,12,19,6,5,14,17,19,13,0,11,2,13,68
0,14,8,2,3,4,1,1,8,4,6,9,19,0,36
11,8,15,10,14,16,9,7,16,3,17,18,11,14,80
9,5,17,18,12,19,1,7,11,3,12,5,2,4,62
12,12,7,11,18,10,15,8,7,18,14,15,13,5,77
1,3,13,9,9,15,19,8,7,13,2,19,8,19,69
4,7,5,3,7,15,5,12,0,16,10,8,14,0,54
1,19,8,3,17,1,14,2,2,16,11,15,9,17,62
8,17,16,14,2,15,13,9,0,15,14,10,3,15,72
16,8,17,14,16,4,12,17,8,19,14,19,6,17,88
7,14,12,16,18,14,9,19,8,17,10,19,2,10,86
11,3,16,16,12,13,6,17,14,6,1,19,17,11,78
4,2,9,3,8,0,11,15,10,13,4,14,5,4,45
9,14,19,13,17,16,5,11,16,11,6,19,7,12,83
3,5,15,7,12,18,1,6,1,13,1,19,18,4,65
7,15,10,17,18,5,0,17,2,15,19,2,2,4,67
18,7,2,0,0,7,14,5,0,6,18,6,8,1,40
6,10,9,3,10,7,1,17,0,10,9,8,14,5,55
3,17,0,18,9,2,1,4,11,16,4,14,18,9,59
12,12,8,0,4,13,3,19,19,17,18,13,4,10,68
10,6,1,18,0,8,12,9,11,18,19,0,3,3,52
9,11,11,7,19,15,8,15,12,12,3,2,2,7,60
12,19,19,1,0,5,17,4,13,12,1,6,2,6,44
1,15,8,11,3,5,1,0,5,6,4,5,17,13,44
5,11,1,15,8,16,13,2,1,8,4,11,16,18,62
13,13,19,18,5,19,17,2,5,12,3,1,15,0,64
4,13,18,2,1,6,16,10,17,6,13,4,2,14,52
4,15,10,3,7,12,11,6,18,3,15,4,5,13,54
4,9,3,11,12,2,14,8,18,17,19,6,2,3,55
0,17,19,14,12,7,5,14,6,7,11,15,10,8,72
14,15,16,13,1,19,19,1,14,14,12,0,15,16,72
13,4,4,16,15,19,19,11,11,16,17,8,6,17,82
11,17,15,17,12,10,4,8,4,13,10,4,19,1,70
3,2,8,7,0,3,4,6,1,16,3,5,5,1,30
3,13,9,8,15,15,2,16,14,2,4,12,17,15,70
0,2,2,9,1,3,3,13,0,16,12,0,18,10,45
11,18,19,14,15,3,19,12,5,13,8,2,16,15,75
5,13,15,19,4,11,0,9,15,14,18,14,8,4,73
15,19,17,2,15,7,14,5,1,8,1,0,9,14,54
9,7,15,19,19,5,12,7,19,0,14,10,2,10,67
16,12,7,12,5,19,9,1,4,11,1,0,18,13,58
10,13,7,12,3,10,5,12,6,19,6,16,13,4,64
8,18,19,15,5,16,9,10,4,13,3,3,9,13,68
11,18,3,19,13,5,13,13,17,11,8,5,19,5,69
10,9,7,1,11,0,14,17,6,15,3,3,10,6,47
1,1,4,14,6,6,10,8,12,2,12,11,12,6,50
3,10,19,17,0,17,4,3,11,0,1,19,8,7,59
16,18,6,2,17,18,9,15,7,4,14,13,6,3,70
13,12,8,6,1,12,18,3,4,11,0,16,0,7,47
2,16,12,17,18,8,4,3,0,11,9,9,17,17,72
8,6,2,5,2,17,18,18,8,8,18,11,7,18,68
7,15,13,15,7,3,4,9,0,8,15,16,8,3,62
14,0,7,11,7,2,4,18,14,12,16,6,4,17,60
8,5,19,5,5,8,4,15,18,18,6,3,11,8,58
11,15,17,11,9,5,0,12,10,7,17,13,5,8,67
16,7,2,17,7,17,9,4,4,11,14,13,14,10,70
2,19,7,14,18,4,7,10,7,16,8,18,15,18,78
12,15,4,18,19,18,13,12,10,5,2,1,14,0,65
6,15,14,4,1,1,3,3,18,4,6,9,16,13,47
7,10,4,3,3,2,13,2,16,4,2,4,1,11,29
12,0,10,8,7,7,17,0,10,2,10,13,2,7,46
15,3,19,8,19,18,3,18,19,14,9,13,3,5,78
9,16,8,17,14,8,3,16,4,18,15,11,12,2,76
9,13,5,7,18,9,6,12,12,12,0,5,4,18,58
14,0,16,3,6,4,18,11,19,7,9,11,14,8,58
11,12,10,18,0,15,8,5,11,7,13,6,10,10,63
13,1,16,10,17,12,13,2,14,1,12,13,7,1,61
19,2,3,16,0,1,16,14,19,0,19,3,0,2,45
14,0,14,6,8,12,15,17,17,17,19,8,4,10,72
5,9,4,16,6,13,10,4,3,5,3,15,7,9,53
13,11,12,3,5,9,14,13,5,3,0,18,3,6,51
1,7,5,16,11,19,10,9,4,15,7,18,2,5,66
4,13,10,17,4,13,0,19,8,3,4,13,3,16,63
1,18,12,14,2,9,8,19,12,2,16,5,2,14,62
12,10,12,18,14,13,5,11,8,2,0,8,14,17,69
9,1,1,9,7,4,18,16,17,10,7,14,18,2,57
9,7,4,7,11,18,7,7,10,17,16,7,18,1,66
14,16,1,16,13,12,16,5,3,18,14,9,11,3,70
1,18,7,15,14,5,17,8,15,2,1,13,3,15,58
16,11,11,8,3,13,3,15,18,0,11,16,11,11,67
14,1,3,5,2,18,18,17,10,2,3,16,12,4,56
6,18,13,15,7,18,14,7,19,18,11,15,15,8,83
5,11,5,16,11,10,19,16,0,4,8,12,7,18,68
4,1,16,10,8,14,14,10,4,3,5,4,3,15,53
19,2,14,19,5,9,9,17,13,2,7,6,8,19,67
18,4,16,14,1,8,17,2,2,18,8,6,15,0,57
9,13,14,6,10,0,6,18,9,10,4,7,18,0,55
14,2,8,5,18,18,15,16,9,9,0,19,17,8,74
3,4,14,10,5,3,10,16,7,11,14,11,14,8,62
5,9,6,11,4,17,3,1,8,8,18,19,2,19,65
15,13,11,11,11,2,0,3,12,0,2,9,9,6,46
16,1,10,2,13,10,16,12,2,15,7,9,16,2,60
19,19,5,7,2,4,2,17,11,13,17,12,7,4,62
7,0,6,6,6,7,13,14,1,5,5,13,6,16,50
10,9,2,18,15,10,15,6,19,9,4,3,18,3,60
16,14,10,15,15,3,15,7,8,5,6,18,1,4,61
17,15,12,18,11,3,14,13,19,16,12,1,4,1,65
12,12,16,11,18,0,16,1,14,10,16,13,19,5,72
2,0,12,10,14,6,4,9,16,16,18,2,17,13,66
16,15,0,12,15,7,18,11,13,13,16,12,17,6,76
17,2,5,6,13,2,12,10,12,9,3,4,5,2,41
1,10,9,7,17,12,13,12,10,9,16,5,12,12,68
12,11,5,5,0,15,5,5,14,8,7,2,2,6,41
8,19,15,7,14,2,7,12,8,4,4,1,3,8,49
6,18,9,2,8,13,4,3,13,11,19,12,3,4,58
10,13,17,0,14,13,18,14,9,10,2,18,11,2,68
14,0,0,3,15,13,3,14,1,4,4,12,19,6,55
3,1,13,19,16,4,1,5,10,6,5,14,11,19,64
4,11,10,5,14,11,1,13,19,5,8,2,3,0,47
9,1,2,9,7,6,6,19,7,7,15,13,8,3,55
10,9,5,10,19,16,5,5,13,0,6,5,17,14,63
2,5,1,3,18,9,10,0,16,18,19,17,12,2,62
4,2,8,13,11,18,12,19,16,10,14,2,16,5,71
19,15,19,2,1,2,14,15,10,15,6,9,18,0,60
18,3,6,4,2,3,1,7,9,5,4,19,8,5,42
14,16,12,14,8,0,7,14,1,5,18,10,8,19,70
8,2,9,9,1,19,0,0,18,2,16,12,3,13,53
19,10,6,7,19,16,8,12,17,17,15,3,9,10,75
1,1,14,12,12,10,12,8,1,14,18,3,14,16,68
16,3,17,6,13,3,2,10,8,6,5,5,2,18,52
14,8,11,14,4,19,4,2,1,11,1,0,19,12,57
6,16,11,7,5,14,16,1,7,13,5,12,13,15,63
16,2,6,6,0,8,6,13,6,2,6,4,9,18,46
6,3,16,11,1,8,13,13,10,11,15,2,18,19,67
8,7,5,19,11,13,4,11,2,14,15,7,18,5,71
8,6,17,1,2,18,11,2,12,2,13,4,1,11,48
16,14,7,1,12,3,14,16,8,19,2,14,0,4,55
7,16,0,9,4,14,16,3,16,5,14,2,2,6,47
10,2,0,5,0,16,7,3,1,18,19,3,8,11,50
1,11,14,6,18,0,11,4,6,8,19,10,2,4,54
3,11,8,18,4,5,5,2,9,8,1,6,17,18,53
16,7,18,13,2,0,6,6,8,13,0,15,8,6,52
16,8,14,18,14,16,12,11,8,9,16,15,18,6,88
3,7,1,16,15,4,11,17,13,16,4,13,11,7,64
1,9,3,13,17,13,5,19,18,17,3,10,4,5,64
12,7,7,18,5,15,3,11,15,18,15,19,2,5,73
0,10,1,2,0,16,10,12,12,3,9,2,9,10,43
11,12,2,11,18,4,9,9,18,15,11,6,17,5,64
4,3,11,13,10,15,10,11,3,11,5,12,4,6,59
10,17,9,18,8,9,10,19,16,9,7,1,18,16,74
5,0,11,7,18,12,0,19,3,14,3,7,1,9,56
18,16,3,8,17,4,18,0,8,12,4,11,12,1,55
19,10,14,11,19,16,5,17,7,13,14,19,13,2,88
4,9,11,2,5,2,19,9,12,15,6,18,18,15,63
4,9,8,15,8,16,8,2,13,7,0,0,15,11,52
3,6,1,8,8,15,6,11,0,18,9,11,6,19,61
9,0,3,17,7,5,10,3,7,3,19,5,17,17,58
18,12,7,0,15,17,13,11,11,8,19,1,17,10,71
15,14,8,13,9,16,11,18,19,8,19,16,6,17,87
13,4,18,4,11,2,14,10,8,11,19,9,6,6,61
5,1,6,6,7,14,1,7,3,13,11,16,19,18,65
7,15,19,18,8,3,10,18,2,14,3,10,5,0,62
10,14,8,14,12,12,9,9,19,11,17,19,18,0,80
13,2,17,7,7,3,7,8,1,4,0,0,16,18,47
12,5,9,6,13,14,18,1,19,10,6,11,7,12,60
2,0,8,6,7,12,19,2,1,5,3,13,0,16,44
13,14,3,5,16,14,9,18,6,1,19,12,16,5,73
3,3,15,11,14,12,4,18,7,16,7,19,2,12,72
9,1,5,5,18,1,7,12,5,4,13,0,0,8,41
13,8,16,4,6,8,15,6,17,19,11,1,19,13,65
6,15,3,12,4,19,10,13,10,17,11,18,16,4,76
12,6,11,1,3,12,0,9,4,8,11,19,19,18,66
11,4,14,17,7,5,14,3,9,1,0,3,2,1,38
9,16,3,12,10,15,3,11,17,3,11,18,4,3,64
14,11,17,16,7,18,17,15,18,12,18,4,11,5,82
10,4,0,16,0,6,6,16,9,18,4,13,13,7,57
16,9,8,13,4,14,9,19,2,16,8,16,4,15,74
13,4,12,13,9,7,18,5,15,7,2,15,2,6,54
16,6,10,0,4,13,10,14,8,2,6,4,12,14,52
6,1,1,11,18,9,14,2,1,7,10,3,0,14,46
8,13,12,5,1,3,2,4,16,15,1,7,5,16,44
12,12,0,10,1,1,6,10,11,16,5,18,7,9,52
3,12,12,17,19,12,0,4,3,3,16,11,17,19,77
19,14,2,6,14,13,5,0,18,8,6,13,15,14,64
2,0,11,2,6,18,2,10,6,10,14,12,1,18,58
17,7,3,12,16,2,0,3,14,18,9,3,9,14,56
13,5,3,4,15,15,2,8,13,6,13,19,7,11,65
18,9,9,11,8,7,14,10,18,11,9,19,10,12,72
8,1,17,9,16,8,5,14,4,19,13,12,2,19,73
4,16,10,0,1,9,17,0,18,6,16,8,3,12,48
18,16,4,10,5,10,11,6,19,19,0,13,10,9,61
7,12,10,9,5,4,1,2,14,3,6,16,10,12,51
19,6,17,10,5,4,18,19,4,15,4,9,12,5,65
5,19,3,1,16,16,18,0,10,16,15,2,6,18,63
5,15,14,15,7,16,13,16,0,11,1,1,16,5,64
15,17,3,5,0,6,12,15,0,2,17,10,5,9,53
11,12,17,14,16,17,10,0,3,12,11,14,18,0,76
10,6,14,9,9,3,5,7,5,12,15,8,18,19,67
9,10,13,5,3,12,17,4,2,5,10,15,14,4,57
3,10,5,12,3,10,8,18,8,16,18,4,14,19,70
15,6,17,7,15,1,7,4,19,13,6,3,8,17,57
3,8,0,11,15,2,0,13,0,9,13,7,11,12,54
1,7,18,3,7,14,9,18,9,9,13,12,1,9,63
11,18,8,6,5,14,10,12,5,8,10,14,3,19,66
10,7,16,1,17,5,2,3,14,10,19,6,10,12,61
11,14,1,0,12,7,6,7,18,10,18,13,13,1,57
4,18,6,6,4,17,9,14,5,7,12,13,1,6,59
17,0,16,3,11,10,15,7,12,9,2,4,13,0,50
8,2,12,16,14,2,10,6,9,18,14,13,7,8,66
16,2,5,5,7,11,17,9,2,13,6,18,7,5,56
17,6,3,17,1,9,17,13,18,4,6,1,5,1,47
14,10,3,6,9,13,14,0,1,9,15,6,6,12,54
7,19,4,6,2,15,1,8,16,3,11,17,16,18,67
1,8,2,4,15,19,7,0,15,1,2,4,0,10,39
14,2,12,19,16,13,1,9,8,8,16,0,0,1,59
4,11,12,1,10,3,8,18,10,4,16,10,18,0,58
7,17,12,0,10,11,0,2,4,17,15,1,1,6,48
4,11,3,16,14,7,3,7,0,19,4,1,17,17,60
11,18,13,19,1,7,17,16,17,1,1,1,2,18,58
14,7,8,2,15,1,15,11,11,6,8,0,8,16,50
7,7,0,18,1,17,14,9,6,8,14,6,12,12,62
17,5,11,16,8,9,5,19,3,5,18,0,4,13,65
9,18,12,6,13,11,5,15,2,2,6,0,8,1,51
2,1,8,19,16,6,11,2,0,18,15,2,18,17,67
16,7,15,5,6,18,1,14,5,5,6,3,1,17,57
12,0,6,0,5,10,4,19,1,12,10,7,12,6,51
11,12,10,19,3,9,3,1,9,5,4,1,9,15,50
15,16,5,18,2,19,13,4,10,7,11,6,12,12,68
17,4,9,0,1,3,4,11,19,19,3,17,17,5,54
15,7,0,19,11,3,3,16,11,13,4,17,19,12,71
5,8,3,2,0,1,8,10,13,0,7,19,3,1,34
13,5,10,13,3,14,2,12,14,8,11,5,11,3,58
5,3,19,14,4,4,14,3,17,3,12,12,0,13,54
7,17,11,16,1,4,15,19,11,17,5,18,11,10,73
14,3,8,4,17,9,10,19,1,6,13,17,4,9,66
10,13,19,8,19,6,12,11,4,10,12,17,12,13,79
3,11,15,13,15,3,9,2,10,9,11,7,6,12,58
8,13,19,6,8,9,6,0,19,13,17,14,15,17,74
9,1,6,11,4,12,18,11,1,5,14,16,18,7,65
2,13,19,11,5,12,1,0,3,5,2,6,5,16,49
14,16,11,19,5,11,19,15,3,13,10,4,16,16,78
13,7,1,4,19,1,8,8,5,15,11,3,8,14,52
17,19,6,0,11,9,11,8,10,11,6,6,15,9,58
11,9,11,4,9,9,5,5,8,0,1,16,2,13,47
8,7,3,3,12,3,6,10,18,17,0,1,19,5,45
10,12,0,4,14,7,9,10,16,2,11,16,8,1,53
17,5,16,1,13,0,5,12,14,1,3,17,3,10,51
17,3,16,12,16,10,18,14,2,19,9,13,7,14,80
18,4,3,9,17,12,13,0,15,6,18,5,13,4,60
1,11,16,13,5,4,1,18,13,1,10,7,15,6,58
17,4,16,14,15,3,1,0,1,17,8,6,13,4,57
17,13,19,5,18,16,10,11,4,2,1,13,7,12,69
18,17,2,1,0,9,3,15,5,7,9,0,7,13,46
18,18,5,16,6,3,15,3,11,17,8,10,15,2,62
16,12,17,16,8,18,6,5,1,17,19,14,3,5,78
16,0,2,3,6,7,4,17,17,14,8,7,0,10,47
4,11,2,11,7,1,13,9,18,3,2,17,4,8,46
0,2,19,9,12,4,7,15,17,10,15,3,19,3,63
5,9,0,0,13,9,12,10,13,17,17,3,16,15,62
4,4,8,4,1,5,13,2,2,18,5,7,19,6,44
7,1,6,13,0,13,17,10,16,8,11,15,0,7,55
10,13,9,11,17,7,4,5,17,7,12,12,11,2,63
17,13,9,7,15,9,7,2,3,8,12,17,3,14,65
11,9,2,6,18,1,6,7,11,3,9,1,6,13,44
19,18,5,10,13,15,0,18,11,6,9,16,4,2,69
19,8,5,0,10,0,15,8,18,6,15,5,18,11,55
0,12,11,7,18,0,12,14,1,16,3,13,7,11,59
3,11,19,8,9,12,4,17,16,2,11,1,1,4,54
15,10,17,10,2,12,15,13,14,2,7,16,8,17,70
13,4,8,10,15,12,18,14,15,7,8,0,1,3,54
14,15,12,14,6,3,15,1,18,8,5,7,15,18,62
0,6,4,19,10,6,13,12,19,18,6,12,1,10,61
4,1,11,8,10,6,8,6,15,7,9,17,16,4,57
14,16,6,15,16,3,14,8,2,5,7,5,10,11,60
14,6,11,9,5,19,12,9,13,16,15,16,12,3,74
8,11,15,14,5,12,10,9,8,2,12,11,3,19,66
8,15,4,1,10,1,9,8,9,13,13,0,1,18,46
18,13,15,4,4,2,1,6,12,13,7,8,12,18,57
11,2,4,15,7,12,13,7,6,3,11,10,18,9,61
15,5,6,5,3,11,6,11,11,19,17,11,13,11,66
8,15,11,9,19,3,12,5,8,6,7,0,6,4,49
9,19,12,0,12,19,10,0,7,0,10,4,5,13,54
7,8,8,15,4,16,6,18,18,8,4,8,5,3,58
13,10,12,6,0,19,17,13,18,19,16,1,15,11,73
14,19,17,0,11,5,4,16,10,8,17,11,14,6,70
2,12,16,16,12,9,11,18,0,14,3,5,14,10,69
17,17,3,16,2,5,10,8,6,16,6,0,4,13,52
6,7,0,8,13,3,15,7,19,12,8,5,9,1,46
3,4,4,12,16,17,18,10,11,18,13,13,8,11,75
14,6,9,19,1,18,4,16,5,14,5,4,1,15,63
2,14,12,16,16,15,11,18,0,19,2,13,15,6,79
12,3,15,5,13,10,8,5,11,3,1,12,5,14,53
4,7,15,17,0,1,0,1,7,1,10,14,14,5,48
13,8,11,11,18,9,15,3,4,19,17,13,2,16,75
13,7,16,7,4,16,15,16,17,11,13,10,0,7,67
3,11,10,11,5,19,17,3,18,11,16,4,11,8,65
13,8,8,18,1,17,5,19,6,11,3,5,14,8,65
8,6,9,3,9,5,15,2,14,10,12,9,5,14,51
14,9,2,3,16,13,0,8,6,6,0,17,19,5,57
17,12,15,5,3,19,0,10,11,0,18,11,6,8,65
18,1,11,4,8,15,4,11,12,12,4,18,16,6,65
6,15,9,19,1,13,4,10,11,8,15,13,8,4,66
15,6,2,15,19,1,14,15,13,1,14,8,0,14,61
4,7,5,10,4,1,5,2,10,11,5,16,7,6,42
0,9,8,16,14,14,6,2,16,9,2,8,6,5,53
1,0,9,15,3,5,18,14,16,13,3,9,5,18,56
10,16,5,9,10,8,7,13,13,13,11,9,6,17,66
13,14,10,5,3,4,14,0,16,1,17,16,2,11,53
3,11,9,13,3,1,13,13,9,15,10,16,16,14,67
10,18,8,16,12,1,9,2,2,13,16,15,15,0,66
19,4,12,6,6,2,6,14,13,16,5,2,3,7,47
8,16,14,2,11,17,16,11,0,7,1,3,12,8,57
12,14,14,5,3,13,13,14,11,19,17,13,7,11,75
4,5,13,7,0,5,13,1,3,10,17,0,8,8,42
18,14,5,5,1,7,18,15,5,8,2,13,5,15,55
3,8,4,5,15,19,13,0,4,15,4,5,18,4,55
16,9,1,1,19,14,19,14,3,6,3,18,12,3,63
11,6,13,7,13,8,15,18,12,7,13,18,16,4,75
12,2,5,7,8,14,19,9,2,13,11,6,7,5,55
2,18,3,16,13,8,3,17,1,4,5,8,14,15,64
12,9,8,10,11,6,12,4,12,7,9,1,15,15,56
17,19,7,5,0,2,2,12,9,6,1,15,19,11,54
17,13,13,0,19,3,8,9,7,3,17,18,15,13,72
